variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_total,5608.3,2018-19,FALSE,Revenue,Actual Outcome
rev_total,5871.2,2019-20,FALSE,Revenue,Original Budget
rev_total,5768.3,2019-20,FALSE,Revenue,Budget Review
rev_total,6098.7,2020-21,TRUE,Revenue,Revised Estimate
rev_total,6396.8,2021-22,TRUE,Revenue,Revised Estimate
rev_total,6855.9,2022-23,TRUE,Revenue,Revised Estimate
exp_total,5919.4,2018-19,FALSE,Expenses,Actual Outcome
exp_total,6158.0,2019-20,FALSE,Expenses,Original Budget
exp_total,6226.6,2019-20,FALSE,Expenses,Budget Review
exp_total,6484.5,2020-21,TRUE,Expenses,Revised Estimate
exp_total,6617.9,2021-22,TRUE,Expenses,Revised Estimate
exp_total,6852.4,2022-23,TRUE,Expenses,Revised Estimate
net_op_balance,-118.6,2018-19,FALSE,HEADLINE NET OPERATING BALANCE,Actual Outcome
net_op_balance,-89.1,2019-20,FALSE,HEADLINE NET OPERATING BALANCE,Original Budget
net_op_balance,-255.6,2019-20,FALSE,HEADLINE NET OPERATING BALANCE,Budget Review
net_op_balance,-170.5,2020-21,TRUE,HEADLINE NET OPERATING BALANCE,Revised Estimate
net_op_balance,9.6,2021-22,TRUE,HEADLINE NET OPERATING BALANCE,Revised Estimate
net_op_balance,250.6,2022-23,TRUE,HEADLINE NET OPERATING BALANCE,Revised Estimate
cash_surplus,342.6,2018-19,FALSE,Net cash from operating activities,Actual Outcome
cash_surplus,240.9,2019-20,FALSE,Net cash from operating activities,Original Budget
cash_surplus,108.3,2019-20,FALSE,Net cash from operating activities,Budget Review
cash_surplus,429.9,2020-21,TRUE,Net cash from operating activities,Revised Estimate
cash_surplus,695.1,2021-22,TRUE,Net cash from operating activities,Revised Estimate
cash_surplus,930.3,2022-23,TRUE,Net cash from operating activities,Revised Estimate
net_debt,2215.7,2018-19,FALSE,Net debt (excluding superannuation),Actual Outcome
net_debt,2713.9,2019-20,FALSE,Net debt (excluding superannuation),Original Budget
net_debt,3075.5,2019-20,FALSE,Net debt (excluding superannuation),Budget Review
net_debt,3780.5,2020-21,TRUE,Net debt (excluding superannuation),Revised Estimate
net_debt,4029.7,2021-22,TRUE,Net debt (excluding superannuation),Revised Estimate
net_debt,3924.6,2022-23,TRUE,Net debt (excluding superannuation),Revised Estimate
net_fin_liabilities,10527.3,2018-19,FALSE,Net financial liabilities,Actual Outcome
net_fin_liabilities,7274.9,2019-20,FALSE,Net financial liabilities,Original Budget
net_fin_liabilities,7654.7,2019-20,FALSE,Net financial liabilities,Budget Review
net_fin_liabilities,8349.1,2020-21,TRUE,Net financial liabilities,Revised Estimate
net_fin_liabilities,8726.2,2021-22,TRUE,Net financial liabilities,Revised Estimate
net_fin_liabilities,8896.6,2022-23,TRUE,Net financial liabilities,Revised Estimate
rev_total,5768.3,2019-20,FALSE,Total revenue,
rev_total,6098.7,2020-21,TRUE,Total revenue,
rev_total,6396.8,2021-22,TRUE,Total revenue,
rev_total,6855.9,2022-23,TRUE,Total revenue,
rev_taxation,2035.8,2019-20,FALSE,Taxation revenue,
rev_taxation,2167.5,2020-21,TRUE,Taxation revenue,
rev_taxation,2291.2,2021-22,TRUE,Taxation revenue,
rev_taxation,2406.3,2022-23,TRUE,Taxation revenue,
rev_payroll,582.5,2019-20,FALSE,Payroll tax,
rev_payroll,623.9,2020-21,TRUE,Payroll tax,
rev_payroll,669.6,2021-22,TRUE,Payroll tax,
rev_payroll,716.6,2022-23,TRUE,Payroll tax,
rev_stamp_duty,249.9,2019-20,FALSE,Conveyances,Under Duties section
rev_stamp_duty,261.8,2020-21,TRUE,Conveyances,Under Duties section
rev_stamp_duty,271.1,2021-22,TRUE,Conveyances,Under Duties section
rev_stamp_duty,266.7,2022-23,TRUE,Conveyances,Under Duties section
rev_land_tax,150.9,2019-20,FALSE,Land tax,
rev_land_tax,158.3,2020-21,TRUE,Land tax,
rev_land_tax,163.9,2021-22,TRUE,Land tax,
rev_land_tax,169.0,2022-23,TRUE,Land tax,
rev_gambling,63.7,2019-20,FALSE,Total gambling taxes,
rev_gambling,65.0,2020-21,TRUE,Total gambling taxes,
rev_gambling,66.4,2021-22,TRUE,Total gambling taxes,
rev_gambling,67.8,2022-23,TRUE,Total gambling taxes,
rev_motor_vehicle,149.6,2019-20,FALSE,Motor vehicle registrations,Under Other taxes section
rev_motor_vehicle,158.4,2020-21,TRUE,Motor vehicle registrations,Under Other taxes section
rev_motor_vehicle,165.0,2021-22,TRUE,Motor vehicle registrations,Under Other taxes section
rev_motor_vehicle,172.3,2022-23,TRUE,Motor vehicle registrations,Under Other taxes section
rev_other_tax,990.1,2019-20,FALSE,Combined other tax categories,"Includes general rates (599.1), duties excluding conveyances (33.5), and other taxes (357.5)"
