variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_total,80672,2017-18,FALSE,Total Revenue from Transactions,
rev_total,81128,2018-19,FALSE,Total Revenue from Transactions,
rev_total,84316,2019-20,FALSE,Total Revenue from Transactions,
rev_total,87632,2020-21,TRUE,Total Revenue from Transactions,
rev_total,90018,2021-22,TRUE,Total Revenue from Transactions,
rev_total,92009,2022-23,TRUE,Total Revenue from Transactions,
rev_taxation,31326,2017-18,FALSE,Taxation,
rev_taxation,31263,2018-19,FALSE,Taxation,
rev_taxation,31841,2019-20,FALSE,Taxation,
rev_taxation,33876,2020-21,TRUE,Taxation,
rev_taxation,35296,2021-22,TRUE,Taxation,
rev_taxation,36665,2022-23,TRUE,Taxation,
rev_payroll,9030,2017-18,FALSE,Taxes on Employers' Payroll and Labour Force,
rev_payroll,9577,2018-19,FALSE,Taxes on Employers' Payroll and Labour Force,
rev_payroll,10008,2019-20,FALSE,Taxes on Employers' Payroll and Labour Force,
rev_land_tax,3735,2017-18,FALSE,Land Taxes,
rev_land_tax,4225,2018-19,FALSE,Land Taxes,
rev_land_tax,4538,2019-20,FALSE,Land Taxes,
rev_stamp_duty,8952,2017-18,FALSE,Stamp Duties on Financial and Capital Transactions,
rev_stamp_duty,7675,2018-19,FALSE,Stamp Duties on Financial and Capital Transactions,
rev_stamp_duty,7223,2019-20,FALSE,Stamp Duties on Financial and Capital Transactions,
rev_gambling,2350,2017-18,FALSE,Taxes on Gambling,
rev_gambling,2616,2018-19,FALSE,Taxes on Gambling,
rev_gambling,2631,2019-20,FALSE,Taxes on Gambling,
rev_motor_vehicle,3576,2017-18,FALSE,Motor Vehicle Taxes,
rev_motor_vehicle,3487,2018-19,FALSE,Motor Vehicle Taxes,
rev_motor_vehicle,3588,2019-20,FALSE,Motor Vehicle Taxes,
rev_gst,17955,2017-18,FALSE,Commonwealth General Purpose,
rev_gst,17888,2018-19,FALSE,Commonwealth General Purpose,
rev_gst,18685,2019-20,FALSE,Commonwealth General Purpose,
rev_gst,19789,2020-21,TRUE,Commonwealth General Purpose,
rev_gst,20953,2021-22,TRUE,Commonwealth General Purpose,
rev_gst,21981,2022-23,TRUE,Commonwealth General Purpose,
rev_sales_goods_svcs,8508,2017-18,FALSE,Sale of Goods and Services,
rev_sales_goods_svcs,8797,2018-19,FALSE,Sale of Goods and Services,
rev_sales_goods_svcs,9762,2019-20,FALSE,Sale of Goods and Services,
rev_sales_goods_svcs,10421,2020-21,TRUE,Sale of Goods and Services,
rev_sales_goods_svcs,9972,2021-22,TRUE,Sale of Goods and Services,
rev_sales_goods_svcs,8988,2022-23,TRUE,Sale of Goods and Services,
rev_interest,558,2017-18,FALSE,Interest,
rev_interest,531,2018-19,FALSE,Interest,
rev_interest,333,2019-20,FALSE,Interest,
rev_interest,322,2020-21,TRUE,Interest,
rev_interest,288,2021-22,TRUE,Interest,
rev_interest,272,2022-23,TRUE,Interest,
rev_dividend,1578,2017-18,FALSE,Dividend and Income Tax Equivalents from Other Sectors,
rev_dividend,1921,2018-19,FALSE,Dividend and Income Tax Equivalents from Other Sectors,
rev_dividend,1877,2019-20,FALSE,Dividend and Income Tax Equivalents from Other Sectors,
rev_dividend,1359,2020-21,TRUE,Dividend and Income Tax Equivalents from Other Sectors,
rev_dividend,796,2021-22,TRUE,Dividend and Income Tax Equivalents from Other Sectors,
rev_dividend,779,2022-23,TRUE,Dividend and Income Tax Equivalents from Other Sectors,
exp_total,76491,2017-18,FALSE,Total Expenses from Transactions,
exp_total,80326,2018-19,FALSE,Total Expenses from Transactions,
exp_total,83300,2019-20,FALSE,Total Expenses from Transactions,
exp_total,86405,2020-21,TRUE,Total Expenses from Transactions,
exp_total,88016,2021-22,TRUE,Total Expenses from Transactions,
exp_total,89410,2022-23,TRUE,Total Expenses from Transactions,
exp_employee,31644,2017-18,FALSE,Employee,
exp_employee,32789,2018-19,FALSE,Employee,
exp_employee,34266,2019-20,FALSE,Employee,
exp_employee,34784,2020-21,TRUE,Employee,
exp_employee,36829,2021-22,TRUE,Employee,
exp_employee,39442,2022-23,TRUE,Employee,
exp_super,4467,2017-18,FALSE,Superannuation,"Sum of Superannuation Interest Cost and Other Superannuation"
exp_super,4564,2018-19,FALSE,Superannuation,"Sum of Superannuation Interest Cost and Other Superannuation"
exp_super,4230,2019-20,FALSE,Superannuation,"Sum of Superannuation Interest Cost and Other Superannuation"
exp_super,4130,2020-21,TRUE,Superannuation,"Sum of Superannuation Interest Cost and Other Superannuation"
exp_super,4246,2021-22,TRUE,Superannuation,"Sum of Superannuation Interest Cost and Other Superannuation"
exp_super,4458,2022-23,TRUE,Superannuation,"Sum of Superannuation Interest Cost and Other Superannuation"
exp_depreciation,4873,2017-18,FALSE,Depreciation and Amortisation,
exp_depreciation,5321,2018-19,FALSE,Depreciation and Amortisation,
exp_depreciation,6110,2019-20,FALSE,Depreciation and Amortisation,
exp_depreciation,6491,2020-21,TRUE,Depreciation and Amortisation,
exp_depreciation,6623,2021-22,TRUE,Depreciation and Amortisation,
exp_depreciation,6795,2022-23,TRUE,Depreciation and Amortisation,
exp_interest,1994,2017-18,FALSE,Interest,
exp_interest,1850,2018-19,FALSE,Interest,
exp_interest,2278,2019-20,FALSE,Interest,
exp_interest,2648,2020-21,TRUE,Interest,
exp_interest,2768,2021-22,TRUE,Interest,
exp_interest,2946,2022-23,TRUE,Interest,
exp_other_operating,19652,2017-18,FALSE,Other Operating,
exp_other_operating,21478,2018-19,FALSE,Other Operating,
exp_other_operating,20815,2019-20,FALSE,Other Operating,
exp_other_operating,21900,2020-21,TRUE,Other Operating,
exp_other_operating,21462,2021-22,TRUE,Other Operating,
exp_other_operating,19907,2022-23,TRUE,Other Operating,
net_op_balance,4181,2017-18,FALSE,BUDGET RESULT - SURPLUS/(DEFICIT) [Net Operating Balance],
net_op_balance,802,2018-19,FALSE,BUDGET RESULT - SURPLUS/(DEFICIT) [Net Operating Balance],
net_op_balance,1016,2019-20,FALSE,BUDGET RESULT - SURPLUS/(DEFICIT) [Net Operating Balance],
net_op_balance,1227,2020-21,TRUE,BUDGET RESULT - SURPLUS/(DEFICIT) [Net Operating Balance],
net_op_balance,2002,2021-22,TRUE,BUDGET RESULT - SURPLUS/(DEFICIT) [Net Operating Balance],
net_op_balance,2599,2022-23,TRUE,BUDGET RESULT - SURPLUS/(DEFICIT) [Net Operating Balance],
net_lending,-2762,2017-18,FALSE,Net Lending/(Borrowing) [Fiscal Balance],
net_lending,-11451,2018-19,FALSE,Net Lending/(Borrowing) [Fiscal Balance],
net_lending,-14507,2019-20,FALSE,Net Lending/(Borrowing) [Fiscal Balance],
net_lending,-8604,2020-21,TRUE,Net Lending/(Borrowing) [Fiscal Balance],
net_lending,-7615,2021-22,TRUE,Net Lending/(Borrowing) [Fiscal Balance],
net_lending,-4396,2022-23,TRUE,Net Lending/(Borrowing) [Fiscal Balance],
cash_surplus,-2096,2017-18,FALSE,Cash Surplus/(Deficit),
cash_surplus,-9590,2018-19,FALSE,Cash Surplus/(Deficit),
cash_surplus,-12711,2019-20,FALSE,Cash Surplus/(Deficit),
cash_surplus,-7712,2020-21,TRUE,Cash Surplus/(Deficit),
cash_surplus,-6684,2021-22,TRUE,Cash Surplus/(Deficit),
cash_surplus,-5051,2022-23,TRUE,Cash Surplus/(Deficit),
net_debt,-11195,2017-18,FALSE,Net Debt,From balance sheet
net_debt,-8818,2018-19,FALSE,Net Debt,From balance sheet
net_debt,12354,2019-20,FALSE,Net Debt,From balance sheet
net_debt,22973,2020-21,TRUE,Net Debt,From balance sheet
