variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
econ_gsp_growth,-0.7,2019-20,FALSE,Real gross state product,
econ_gsp_growth,-0.5,2020-21,FALSE,Real gross state product,
econ_gsp_growth,2.75,2021-22,TRUE,Real gross state product,
econ_gsp_growth,2.0,2022-23,TRUE,Real gross state product,
econ_gsp_growth,2.75,2023-24,TRUE,Real gross state product,
econ_employment,-0.1,2019-20,FALSE,Employment,
econ_employment,-0.25,2020-21,FALSE,Employment,
econ_employment,0.75,2021-22,TRUE,Employment,
econ_employment,1.0,2022-23,TRUE,Employment,
econ_employment,1.0,2023-24,TRUE,Employment,
econ_unemployment,6.5,2019-20,FALSE,Unemployment rate,June quarter
econ_unemployment,6.5,2020-21,FALSE,Unemployment rate,June quarter
econ_unemployment,6.0,2021-22,TRUE,Unemployment rate,June quarter
econ_unemployment,5.75,2022-23,TRUE,Unemployment rate,June quarter
econ_unemployment,5.0,2023-24,TRUE,Unemployment rate,June quarter
econ_cpi,1.0,2019-20,FALSE,Sydney consumer price index,
econ_cpi,1.25,2020-21,FALSE,Sydney consumer price index,
econ_cpi,1.5,2021-22,TRUE,Sydney consumer price index,
econ_cpi,1.5,2022-23,TRUE,Sydney consumer price index,
econ_cpi,1.75,2023-24,TRUE,Sydney consumer price index,
econ_wpi,2.0,2019-20,FALSE,Wage price index,
econ_wpi,1.25,2020-21,FALSE,Wage price index,
econ_wpi,1.5,2021-22,TRUE,Wage price index,
econ_wpi,1.5,2022-23,TRUE,Wage price index,
econ_wpi,1.75,2023-24,TRUE,Wage price index,
econ_population,0.9,2019-20,FALSE,Population,Through the year to 30 June
econ_population,0.0,2020-21,FALSE,Population,Through the year to 30 June
econ_population,0.2,2021-22,TRUE,Population,Through the year to 30 June
econ_population,0.7,2022-23,TRUE,Population,Through the year to 30 June
econ_population,1.1,2023-24,TRUE,Population,Through the year to 30 June
