variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_total,49976,2015-16,FALSE,Total revenue,
rev_total,53449,2016-17,FALSE,Total revenue,
rev_total,55349,2017-18,TRUE,Total revenue,
rev_total,55097,2018-19,TRUE,Total revenue,
rev_total,56674,2019-20,TRUE,Total revenue,
rev_taxation,12660,2015-16,FALSE,Tax revenue,
rev_taxation,13150,2016-17,FALSE,Tax revenue,
rev_taxation,13794,2017-18,TRUE,Tax revenue,
rev_taxation,14622,2018-19,TRUE,Tax revenue,
rev_taxation,15460,2019-20,TRUE,Tax revenue,
exp_total,49824,2015-16,FALSE,Total expenses,
exp_total,52582,2016-17,FALSE,Total expenses,
exp_total,54123,2017-18,TRUE,Total expenses,
exp_total,54775,2018-19,TRUE,Total expenses,
exp_total,55934,2019-20,TRUE,Total expenses,
exp_employee,19956,2015-16,FALSE,Employee expenses,
exp_employee,20930,2016-17,FALSE,Employee expenses,
exp_employee,21643,2017-18,TRUE,Employee expenses,
exp_employee,22126,2018-19,TRUE,Employee expenses,
exp_employee,23065,2019-20,TRUE,Employee expenses,
net_op_balance,152,2015-16,FALSE,Net operating balance,
net_op_balance,867,2016-17,FALSE,Net operating balance,
net_op_balance,1225,2017-18,TRUE,Net operating balance,
net_op_balance,321,2018-19,TRUE,Net operating balance,
net_op_balance,741,2019-20,TRUE,Net operating balance,
capex_pnfa,4173,2015-16,FALSE,Capital purchases,
capex_pnfa,5452,2016-17,FALSE,Capital purchases,
capex_pnfa,6590,2017-18,TRUE,Capital purchases,
capex_pnfa,5840,2018-19,TRUE,Capital purchases,
capex_pnfa,5983,2019-20,TRUE,Capital purchases,
net_cap_investment,1091,2015-16,FALSE,Net capital purchases,
net_cap_investment,2873,2016-17,FALSE,Net capital purchases,
net_cap_investment,3339,2017-18,TRUE,Net capital purchases,
net_cap_investment,2436,2018-19,TRUE,Net capital purchases,
net_cap_investment,1782,2019-20,TRUE,Net capital purchases,
net_lending,-940,2015-16,FALSE,Fiscal balance,
net_lending,-2006,2016-17,FALSE,Fiscal balance,
net_lending,-2114,2017-18,TRUE,Fiscal balance,
net_lending,-2115,2018-19,TRUE,Fiscal balance,
net_lending,-1042,2019-20,TRUE,Fiscal balance,
net_debt,1590,2015-16,FALSE,Net debt,
net_debt,3525,2016-17,FALSE,Net debt,
net_debt,5072,2017-18,TRUE,Net debt,
net_debt,7309,2018-19,TRUE,Net debt,
net_debt,8641,2019-20,TRUE,Net debt,
