variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_total,19174,2017-18,FALSE,Total revenue,
rev_total,19270,2018-19,TRUE,Total revenue,
rev_total,19564,2019-20,TRUE,Total revenue,
rev_total,20196,2020-21,TRUE,Total revenue,
rev_taxation,4493,2017-18,FALSE,Taxation revenue,
rev_taxation,4655,2018-19,TRUE,Taxation revenue,
rev_taxation,4858,2019-20,TRUE,Taxation revenue,
rev_taxation,5068,2020-21,TRUE,Taxation revenue,
rev_payroll,1170,2017-18,FALSE,Payroll tax,
rev_payroll,1222,2018-19,TRUE,Payroll tax,
rev_payroll,1277,2019-20,TRUE,Payroll tax,
rev_payroll,1335,2020-21,TRUE,Payroll tax,
rev_stamp_duty,812,2017-18,FALSE,Conveyances,
rev_stamp_duty,819,2018-19,TRUE,Conveyances,
rev_stamp_duty,894,2019-20,TRUE,Conveyances,
rev_stamp_duty,973,2020-21,TRUE,Conveyances,
rev_land_tax,600,2017-18,FALSE,Land tax - private + Land tax - public,Total includes both private (370) and public (230)
rev_land_tax,615,2018-19,TRUE,Land tax - private + Land tax - public,Total includes both private (381) and public (234)
rev_land_tax,633,2019-20,TRUE,Land tax - private + Land tax - public,Total includes both private (394) and public (239)
rev_land_tax,651,2020-21,TRUE,Land tax - private + Land tax - public,Total includes both private (406) and public (245)
rev_gambling,388,2017-18,FALSE,Gambling tax,
rev_gambling,402,2018-19,TRUE,Gambling tax,
rev_gambling,408,2019-20,TRUE,Gambling tax,
rev_gambling,415,2020-21,TRUE,Gambling tax,
rev_motor_vehicle,637,2017-18,FALSE,Motor vehicle taxes,
rev_motor_vehicle,662,2018-19,TRUE,Motor vehicle taxes,
rev_motor_vehicle,677,2019-20,TRUE,Motor vehicle taxes,
rev_motor_vehicle,697,2020-21,TRUE,Motor vehicle taxes,
rev_other_tax,887,2017-18,FALSE,Other property taxes + Insurance taxes,Combined value of Other property taxes (431) and Insurance taxes (456)
rev_other_tax,934,2018-19,TRUE,Other property taxes + Insurance taxes,Combined value of Other property taxes (461) and Insurance taxes (473)
