variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_total,20332,2019-20,FALSE,Total revenue,
rev_taxation,4478,2019-20,FALSE,Taxation revenue,
rev_payroll,1244,2019-20,FALSE,Payroll tax included in taxation,From Table 3.4
rev_stamp_duty,817,2019-20,FALSE,Conveyances included in stamp duties,From Table 3.3
rev_land_tax,657,2019-20,FALSE,Land tax - private 404 + public 253,From Table 3.3
rev_gambling,324,2019-20,FALSE,Gambling taxes,From Table 3.3
rev_motor_vehicle,713,2019-20,FALSE,Motor vehicle taxes,From Table 3.3
rev_gst,6095,2019-20,FALSE,GST revenue grants,From Table 2.14
rev_grants_tied,5247,2019-20,FALSE,Other grants,From Table 1.5
rev_sales_goods_svcs,2605,2019-20,FALSE,Sales of goods and services,
rev_interest,87,2019-20,FALSE,Interest income,
rev_dividend,386,2019-20,FALSE,Dividend and income tax equivalent income,
rev_other,1433,2019-20,FALSE,Other,
exp_total,21817,2019-20,FALSE,Total expenses,
exp_employee,8756,2019-20,FALSE,Employee expenses,
exp_super,1075,2019-20,FALSE,Superannuation expenses total (231+844),
exp_depreciation,1379,2019-20,FALSE,Depreciation and amortisation,
exp_interest,464,2019-20,FALSE,Interest expenses,
exp_other_operating,6760,2019-20,FALSE,Other operating expenses,
exp_current_grants,3382,2019-20,FALSE,Grants,
net_op_balance,-1485,2019-20,FALSE,Net operating balance,
net_lending,-2244,2019-20,FALSE,Net lending/borrowing,
net_debt,10537,2019-20,FALSE,Net debt — GG sector,From Table 4.1
net_fin_liabilities,29229,2019-20,FALSE,Net financial liabilities,From Table 4.1
net_worth,43426,2019-20,FALSE,Net worth,From Table 4.1
capex_pnfa,2460,2019-20,FALSE,Purchases of non-financial assets,From Table 2.16
rev_total,19567,2020-21,TRUE,Total revenue,
rev_taxation,4476,2020-21,TRUE,Taxation revenue,
rev_payroll,1264,2020-21,TRUE,Payroll tax included in taxation,From Table 3.4
rev_stamp_duty,740,2020-21,TRUE,Conveyances included in stamp duties,From Table 3.3
rev_land_tax,544,2020-21,TRUE,Land tax - private 373 + public 171,From Table 3.3
rev_gambling,443,2020-21,TRUE,Gambling taxes,From Table 3.3
rev_motor_vehicle,733,2020-21,TRUE,Motor vehicle taxes,From Table 3.3
rev_gst,5606,2020-21,TRUE,GST revenue grants,From Table 2.14
rev_grants_tied,5046,2020-21,TRUE,Other grants,From Table 1.5
rev_sales_goods_svcs,2660,2020-21,TRUE,Sales of goods and services,
rev_interest,46,2020-21,TRUE,Interest income,
rev_dividend,159,2020-21,TRUE,Dividend and income tax equivalent income,
rev_other,1575,2020-21,TRUE,Other,
exp_total,22157,2020-21,TRUE,Total expenses,
exp_employee,8915,2020-21,TRUE,Employee expenses,
exp_super,1053,2020-21,TRUE,Superannuation expenses total (183+870),
exp_depreciation,1406,2020-21,TRUE,Depreciation and amortisation,
exp_interest,473,2020-21,TRUE,Interest expenses,
exp_other_operating,7243,2020-21,TRUE,Other operating expenses,
exp_current_grants,3067,2020-21,TRUE,Grants,
net_op_balance,-2590,2020-21,TRUE,Net operating balance,
net_lending,-3771,2020-21,TRUE,Net lending/borrowing,
net_debt,15270,2020-21,TRUE,Net debt — GG sector,From Table 4.1
net_fin_liabilities,32925,2020-21,TRUE,Net financial liabilities,From Table 4.1
net_worth,41242,2020-21,TRUE,Net worth,From Table 4.1
capex_pnfa,2748,2020-21,TRUE,Purchases of non-financial assets,From Table 2.16
rev_total,21002,2021-22,TRUE,Total revenue,
rev_taxation,4787,2021-22,TRUE,Taxation revenue,
rev_payroll,1399,2021-22,TRUE,Payroll tax included in taxation,From Table 3.4
rev_stamp_duty,842,2021-22,TRUE,Conveyances included in stamp duties,From Table 3.3
rev_land_tax,568,2021-22,TRUE,Land tax - private 391 + public 177,From Table 3.3
rev_gambling,433,2021-22,TRUE,Gambling taxes,From Table 3.3
rev_motor_vehicle,751,2021-22,TRUE,Motor vehicle taxes,From Table 3.3
rev_gst,6043,2021-22,TRUE,GST revenue grants,From Table 2.14
rev_grants_tied,5652,2021-22,TRUE,Other grants,From Table 1.5
rev_sales_goods_svcs,2762,2021-22,TRUE,Sales of goods and services,
rev_interest,47,2021-22,TRUE,Interest income,
rev_dividend,175,2021-22,TRUE,Dividend and income tax equivalent income,
rev_other,1537,2021-22,TRUE,Other,
exp_total,22425,2021-22,TRUE,Total expenses,
exp_employee,8983,2021-22,TRUE,Employee expenses,
exp_super,1058,2021-22,TRUE,Superannuation expenses total (173+885),
exp_depreciation,1449,2021-22,TRUE,Depreciation and amortisation,
exp_interest,548,2021-22,TRUE,Interest expenses,
exp_other_operating,7322,2021-22,TRUE,Other operating expenses,
exp_current_grants,3065,2021-22,TRUE,Grants,
net_op_balance,-1423,2021-22,TRUE,Net operating balance,
net_lending,-3465,2021-22,TRUE,Net lending/borrowing,
net_debt,19366,2021-22,TRUE,Net debt — GG sector,From Table 4.1
net_fin_liabilities,36187,2021-22,TRUE,Net financial liabilities,From Table 4.1
net_worth,40279,2021-22,TRUE,Net worth,From Table 4.1
capex_pnfa,3559,2021-22,TRUE,Purchases of non-financial assets,From Table 2.16
rev_total,22078,2022-23,TRUE,Total revenue,
rev_taxation,4953,2022-23,TRUE,Taxation revenue,
rev_payroll,1468,2022-23,TRUE,Payroll tax included in taxation,From Table 3.4
rev_stamp_duty,890,2022-23,TRUE,Conveyances included in stamp duties,From Table 3.3
rev_land_tax,562,2022-23,TRUE,Land tax - private 382 + public 180,From Table 3.3
rev_gambling,441,2022-23,TRUE,Gambling taxes,From Table 3.3
rev_motor_vehicle,771,2022-23,TRUE,Motor vehicle taxes,From Table 3.3
rev_gst,6707,2022-23,TRUE,GST revenue grants,From Table 2.14
rev_grants_tied,5793,2022-23,TRUE,Other grants,From Table 1.5
rev_sales_goods_svcs,2850,2022-23,TRUE,Sales of goods and services,
rev_interest,61,2022-23,TRUE,Interest income,
rev_dividend,186,2022-23,TRUE,Dividend and income tax equivalent income,
rev_other,1530,2022-23,TRUE,Other,
exp_total,22513,2022-23,TRUE,Total expenses,
exp_employee,9225,2022-23,TRUE,Employee expenses,
exp_super,1078,2022-23,TRUE,Superannuation expenses total (162+916),
exp_depreciation,1500,2022-23,TRUE,Depreciation and amortisation,
exp_interest,614,2022-23,TRUE,Interest expenses,
exp_other_operating,7253,2022-23,TRUE,Other operating expenses,
exp_current_grants,2842,2022-23,TRUE,Grants,
net_op_balance,-435,2022-23,TRUE,Net operating balance,
net_lending,-2107,2022-23,TRUE,Net lending/borrowing,
net_debt,22043,2022-23,TRUE,Net debt — GG sector,From Table 4.1
net_fin_liabilities,38099,2022-23,TRUE,Net financial liabilities,From Table 4.1
net_worth,40307,2022-23,TRUE,Net worth,From Table 4.1
capex_pnfa,3230,2022-23,TRUE,Purchases of non-financial assets,From Table 2.16
rev_total,23515,2023-24,TRUE,Total revenue,
rev_taxation,5136,2023-24,TRUE,Taxation revenue,
rev_payroll,1533,2023-24,TRUE,Payroll tax included in taxation,From Table 3.4
rev_stamp_duty,941,2023-24,TRUE,Conveyances included in stamp duties,From Table 3.3
rev_land_tax,576,2023-24,TRUE,Land tax - private 391 + public 185,From Table 3.3
rev_gambling,447,2023-24,TRUE,Gambling taxes,From Table 3.3
rev_motor_vehicle,790,2023-24,TRUE,Motor vehicle taxes,From Table 3.3
rev_gst,7305,2023-24,TRUE,GST revenue grants,From Table 2.14
rev_grants_tied,6317,2023-24,TRUE,Other grants,From Table 1.5
rev_sales_goods_svcs,2890,2023-24,TRUE,Sales of goods and services,
rev_interest,96,2023-24,TRUE,Interest income,
rev_dividend,220,2023-24,TRUE,Dividend and income tax equivalent income,
rev_other,1551,2023-24,TRUE,Other,
exp_total,23109,2023-24,TRUE,Total expenses,
exp_employee,9368,2023-24,TRUE,Employee expenses,
exp_super,1090,2023-24,TRUE,Superannuation expenses total (151+939),
exp_depreciation,1537,2023-24,TRUE,Depreciation and amortisation,
exp_interest,679,2023-24,TRUE,Interest expenses,
exp_other_operating,7401,2023-24,TRUE,Other operating expenses,
exp_current_grants,3034,2023-24,TRUE,Grants,
net_op_balance,406,2023-24,TRUE,Net operating balance,
net_lending,-1885,2023-24,TRUE,Net lending/borrowing,
net_debt,24489,2023-24,TRUE,Net debt — GG sector,From Table 4.1
net_fin_liabilities,39835,2023-24,TRUE,Net financial liabilities,From Table 4.1
net_worth,41321,2023-24,TRUE,Net worth,From Table 4.1
capex_pnfa,3930,2023-24,TRUE,Purchases of non-financial assets,From Table 2.16
rev_total,21354,2019-20,FALSE,Total revenue,Actual outcome from Table 1.1
rev_total,20698,2020-21,FALSE,Total revenue,Budget estimate from Table 1.1
rev_total,22283,2021-22,TRUE,Total revenue,Forward estimate from Table 1.1
rev_total,23380,2022-23,TRUE,Total revenue,Forward estimate from Table 1.1
rev_total,24817,2023-24,TRUE,Total revenue,Forward estimate from Table 1.1
