variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_total,6852.7,2020-21,FALSE,Revenue from transactions,Preliminary Outcome
rev_total,7257.5,2021-22,FALSE,Revenue from transactions,
rev_total,7542.7,2022-23,TRUE,Revenue from transactions,
rev_total,7776.8,2023-24,TRUE,Revenue from transactions,
rev_total,8051.3,2024-25,TRUE,Revenue from transactions,
rev_taxation,1336.0,2020-21,FALSE,Taxation,Preliminary Outcome
rev_taxation,1448.3,2021-22,FALSE,Taxation,
rev_taxation,1530.6,2022-23,TRUE,Taxation,
rev_taxation,1608.5,2023-24,TRUE,Taxation,
rev_taxation,1684.6,2024-25,TRUE,Taxation,
rev_gst,4300.9,2020-21,FALSE,Grants,Preliminary Outcome - includes GST revenue within total grants
rev_gst,4653.2,2021-22,FALSE,Grants,Includes GST revenue within total grants
rev_gst,4922.3,2022-23,TRUE,Grants,Includes GST revenue within total grants
rev_gst,5094.5,2023-24,TRUE,Grants,Includes GST revenue within total grants
rev_gst,5258.2,2024-25,TRUE,Grants,Includes GST revenue within total grants
rev_sales_goods_svcs,440.9,2020-21,FALSE,Sales of goods and services,Preliminary Outcome
rev_sales_goods_svcs,441.7,2021-22,FALSE,Sales of goods and services,
rev_sales_goods_svcs,458.5,2022-23,TRUE,Sales of goods and services,
rev_sales_goods_svcs,469.8,2023-24,TRUE,Sales of goods and services,
rev_sales_goods_svcs,479.9,2024-25,TRUE,Sales of goods and services,
rev_interest,8.0,2020-21,FALSE,Interest income,Preliminary Outcome
rev_interest,7.9,2021-22,FALSE,Interest income,
rev_interest,12.1,2022-23,TRUE,Interest income,
rev_interest,18.3,2023-24,TRUE,Interest income,
rev_interest,22.9,2024-25,TRUE,Interest income,
rev_dividend,403.6,2020-21,FALSE,Dividend tax and rate equivalent income,Preliminary Outcome
rev_dividend,383.8,2021-22,FALSE,Dividend tax and rate equivalent income,
rev_dividend,316.1,2022-23,TRUE,Dividend tax and rate equivalent income,
rev_dividend,286.1,2023-24,TRUE,Dividend tax and rate equivalent income,
rev_dividend,308.0,2024-25,TRUE,Dividend tax and rate equivalent income,
