variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_total,56066,2015-16,FALSE,Total revenue,
rev_total,57236,2016-17,TRUE,Total revenue,
rev_total,59601,2017-18,TRUE,Total revenue,
rev_total,60998,2018-19,TRUE,Total revenue,
rev_taxation,19436,2015-16,FALSE,Taxation,
rev_taxation,20025,2016-17,TRUE,Taxation,
rev_taxation,20547,2017-18,TRUE,Taxation,
rev_taxation,21442,2018-19,TRUE,Taxation,
rev_dividend,1927,2015-16,FALSE,Dividends, TER and interest,Combined dividends and interest income
rev_dividend,1782,2016-17,TRUE,Dividends, TER and interest,Combined dividends and interest income
rev_dividend,1802,2017-18,TRUE,Dividends, TER and interest,Combined dividends and interest income
rev_dividend,1711,2018-19,TRUE,Dividends, TER and interest,Combined dividends and interest income
rev_sales_goods_svcs,6809,2015-16,FALSE,Sales of goods and services,
rev_sales_goods_svcs,6897,2016-17,TRUE,Sales of goods and services,
rev_sales_goods_svcs,6969,2017-18,TRUE,Sales of goods and services,
rev_sales_goods_svcs,7021,2018-19,TRUE,Sales of goods and services,
rev_other,2440,2015-16,FALSE,Other current revenue,
rev_other,2522,2016-17,TRUE,Other current revenue,
rev_other,2462,2017-18,TRUE,Other current revenue,
rev_other,2465,2018-19,TRUE,Other current revenue,
exp_total,54355,2015-16,FALSE,Total expenses,
exp_total,55691,2016-17,TRUE,Total expenses,
exp_total,57756,2017-18,TRUE,Total expenses,
exp_total,59443,2018-19,TRUE,Total expenses,
exp_employee,20069,2015-16,FALSE,Employee expenses,
exp_employee,20768,2016-17,TRUE,Employee expenses,
exp_employee,21696,2017-18,TRUE,Employee expenses,
exp_employee,22588,2018-19,TRUE,Employee expenses,
exp_super,2927,2015-16,FALSE,Superannuation,
exp_super,2909,2016-17,TRUE,Superannuation,
exp_super,2909,2017-18,TRUE,Superannuation,
exp_super,2942,2018-19,TRUE,Superannuation,
exp_depreciation,2510,2015-16,FALSE,Depreciation,
exp_depreciation,2657,2016-17,TRUE,Depreciation,
exp_depreciation,2820,2017-18,TRUE,Depreciation,
exp_depreciation,3070,2018-19,TRUE,Depreciation,
exp_interest,2132,2015-16,FALSE,Interest expense,
exp_interest,2108,2016-17,TRUE,Interest expense,
exp_interest,2167,2017-18,TRUE,Interest expense,
exp_interest,2160,2018-19,TRUE,Interest expense,
exp_other_operating,18271,2015-16,FALSE,Other operating expenses,
exp_other_operating,18080,2016-17,TRUE,Other operating expenses,
exp_other_operating,18664,2017-18,TRUE,Other operating expenses,
exp_other_operating,18917,2018-19,TRUE,Other operating expenses,
exp_current_grants,8446,2015-16,FALSE,Grants and other transfers,
exp_current_grants,9170,2016-17,TRUE,Grants and other transfers,
exp_current_grants,9499,2017-18,TRUE,Grants and other transfers,
exp_current_grants,9767,2018-19,TRUE,Grants and other transfers,
net_op_balance,1712,2015-16,FALSE,Net result from transactions,
net_op_balance,1544,2016-17,TRUE,Net result from transactions,
net_op_balance,1845,2017-18,TRUE,Net result from transactions,
net_op_balance,1555,2018-19,TRUE,Net result from transactions,
capex_infra_program,5300,2015-16,FALSE,Total infrastructure investment program,Annual average over budget and forward estimates per narrative
capex_infra_program,5300,2016-17,TRUE,Total infrastructure investment program,Annual average over budget and forward estimates per narrative
capex_infra_program,5300,2017-18,TRUE,Total infrastructure investment program,Annual average over budget and forward estimates per narrative
capex_infra_program,5300,2018-19,TRUE,Total infrastructure investment program,Annual average over budget and forward estimates per narrative
