variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_total,63405,2017-18,FALSE,Total revenue from transactions,
rev_total,66524,2018-19,TRUE,Total revenue from transactions,
rev_total,67947,2019-20,TRUE,Total revenue from transactions,
rev_total,70169,2020-21,TRUE,Total revenue from transactions,
rev_taxation,21827,2017-18,FALSE,Taxation revenue,
rev_taxation,23163,2018-19,TRUE,Taxation revenue,
rev_taxation,24475,2019-20,TRUE,Taxation revenue,
rev_taxation,25629,2020-21,TRUE,Taxation revenue,
rev_interest,899,2017-18,FALSE,Interest revenue,
rev_interest,869,2018-19,TRUE,Interest revenue,
rev_interest,858,2019-20,TRUE,Interest revenue,
rev_interest,826,2020-21,TRUE,Interest revenue,
rev_dividend,1171,2017-18,FALSE,"Dividends, income tax equivalent and rate equivalent revenue",
rev_dividend,586,2018-19,TRUE,"Dividends, income tax equivalent and rate equivalent revenue",
rev_dividend,645,2019-20,TRUE,"Dividends, income tax equivalent and rate equivalent revenue",
rev_dividend,776,2020-21,TRUE,"Dividends, income tax equivalent and rate equivalent revenue",
rev_sales_goods_svcs,7187,2017-18,FALSE,Sales of goods and services,
rev_sales_goods_svcs,7465,2018-19,TRUE,Sales of goods and services,
rev_sales_goods_svcs,7807,2019-20,TRUE,Sales of goods and services,
rev_sales_goods_svcs,8097,2020-21,TRUE,Sales of goods and services,
rev_other,2502,2017-18,FALSE,Other revenue,
rev_other,2525,2018-19,TRUE,Other revenue,
rev_other,2544,2019-20,TRUE,Other revenue,
rev_other,2560,2020-21,TRUE,Other revenue,
exp_total,62252,2017-18,FALSE,Total expenses from transactions,
exp_total,64549,2018-19,TRUE,Total expenses from transactions,
exp_total,65542,2019-20,TRUE,Total expenses from transactions,
exp_total,67441,2020-21,TRUE,Total expenses from transactions,
exp_employee,23011,2017-18,FALSE,Employee expenses,
exp_employee,24039,2018-19,TRUE,Employee expenses,
exp_employee,24722,2019-20,TRUE,Employee expenses,
exp_employee,25346,2020-21,TRUE,Employee expenses,
exp_super,3108,2017-18,FALSE,Superannuation expenses,Combined net superannuation interest expense (761) and other superannuation (2347)
exp_super,3113,2018-19,TRUE,Superannuation expenses,Combined net superannuation interest expense (734) and other superannuation (2379)
exp_super,3137,2019-20,TRUE,Superannuation expenses,Combined net superannuation interest expense (704) and other superannuation (2433)
exp_super,3140,2020-21,TRUE,Superannuation expenses,Combined net superannuation interest expense (674) and other superannuation (2466)
exp_depreciation,2788,2017-18,FALSE,Depreciation,
exp_depreciation,3033,2018-19,TRUE,Depreciation,
exp_depreciation,3193,2019-20,TRUE,Depreciation,
exp_depreciation,3394,2020-21,TRUE,Depreciation,
exp_interest,2181,2017-18,FALSE,Interest expense,
exp_interest,2197,2018-19,TRUE,Interest expense,
exp_interest,2201,2019-20,TRUE,Interest expense,
exp_interest,2258,2020-21,TRUE,Interest expense,
exp_current_grants,11333,2017-18,FALSE,Grant expense,
exp_current_grants,12876,2018-19,TRUE,Grant expense,
exp_current_grants,13308,2019-20,TRUE,Grant expense,
exp_current_grants,13267,2020-21,TRUE,Grant expense,
exp_other_operating,19830,2017-18,FALSE,Other operating expenses,
exp_other_operating,19291,2018-19,TRUE,Other operating expenses,
exp_other_operating,18981,2019-20,TRUE,Other operating expenses,
exp_other_operating,20036,2020-21,TRUE,Other operating expenses,
net_op_balance,1153,2017-18,FALSE,Net operating balance,
net_op_balance,1975,2018-19,TRUE,Net operating balance,
net_op_balance,2405,2019-20,TRUE,Net operating balance,
net_op_balance,2727,2020-21,TRUE,Net operating balance,
net_lending,-660,2017-18,FALSE,Net lending/(borrowing),
net_lending,1662,2018-19,TRUE,Net lending/(borrowing),
net_lending,2055,2019-20,TRUE,Net lending/(borrowing),
net_lending,2663,2020-21,TRUE,Net lending/(borrowing),
cash_surplus,-4676,2017-18,FALSE,Cash surplus/(deficit),
cash_surplus,-1350,2018-19,TRUE,Cash surplus/(deficit),
cash_surplus,-2307,2019-20,TRUE,Cash surplus/(deficit),
cash_surplus,-1695,2020-21,TRUE,Cash surplus/(deficit),
net_debt,23797,2017-18,FALSE,Net debt,
net_debt,25143,2018-19,TRUE,Net debt,
net_debt,27354,2019-20,TRUE,Net debt,
net_debt,28917,2020-21,TRUE,Net debt,
net_fin_liabilities,55577,2017-18,FALSE,Net financial liabilities,
net_fin_liabilities,57582,2018-19,TRUE,Net financial liabilities,
net_fin_liabilities,58519,2019-20,TRUE,Net financial liabilities,
net_fin_liabilities,58645,2020-21,TRUE,Net financial liabilities,
net_worth,164734,2017-18,FALSE,Net worth,
net_worth,168769,2018-19,TRUE,Net worth,
net_worth,179405,2019-20,TRUE,Net worth,
net_worth,185215,2020-21,TRUE,Net worth,
capex_pnfa,8780,2017-18,FALSE,Purchase of non-financial assets,
capex_pnfa,7882,2018-19,TRUE,Purchase of non-financial assets,
capex_pnfa,6929,2019-20,TRUE,Purchase of non-financial assets,
capex_pnfa,6913,2020-21,TRUE,Purchase of non-financial assets,
