variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_total,32162,2019-20,FALSE,Total revenue,
rev_total,34139,2020-21,FALSE,Total revenue,
rev_total,31618,2021-22,TRUE,Total revenue,
rev_total,32466,2022-23,TRUE,Total revenue,
rev_total,33547,2023-24,TRUE,Total revenue,
exp_total,30493,2019-20,FALSE,Total expenses,
exp_total,32935,2020-21,FALSE,Total expenses,
exp_total,31254,2021-22,TRUE,Total expenses,
exp_total,31399,2022-23,TRUE,Total expenses,
exp_total,32073,2023-24,TRUE,Total expenses,
net_op_balance,1669,2019-20,FALSE,Net Operating Balance,
net_op_balance,1204,2020-21,FALSE,Net Operating Balance,
net_op_balance,363,2021-22,TRUE,Net Operating Balance,
net_op_balance,1067,2022-23,TRUE,Net Operating Balance,
net_op_balance,1474,2023-24,TRUE,Net Operating Balance,
net_debt,23758,2019-20,FALSE,Net Debt at 30 June,
net_debt,25576,2020-21,FALSE,Net Debt at 30 June,
net_debt,27870,2021-22,TRUE,Net Debt at 30 June,
net_debt,29235,2022-23,TRUE,Net Debt at 30 June,
net_debt,29491,2023-24,TRUE,Net Debt at 30 June,
cash_surplus,2134,2019-20,FALSE,Cash Surplus/Deficit,
cash_surplus,402,2020-21,FALSE,Cash Surplus/Deficit,
cash_surplus,-429,2021-22,TRUE,Cash Surplus/Deficit,
cash_surplus,52,2022-23,TRUE,Cash Surplus/Deficit,
cash_surplus,762,2023-24,TRUE,Cash Surplus/Deficit,
net_worth,102438,2019-20,FALSE,Net Worth,
net_worth,102726,2020-21,FALSE,Net Worth,
net_worth,103425,2021-22,TRUE,Net Worth,
net_worth,105701,2022-23,TRUE,Net Worth,
net_worth,108688,2023-24,TRUE,Net Worth,
capex_pnfa,2553,2019-20,FALSE,Asset Investment Program,General government sector
capex_pnfa,3013,2020-21,FALSE,Asset Investment Program,General government sector
capex_pnfa,2997,2021-22,TRUE,Asset Investment Program,General government sector
capex_pnfa,2566,2022-23,TRUE,Asset Investment Program,General government sector
capex_pnfa,2373,2023-24,TRUE,Asset Investment Program,General government sector
econ_gsp_growth,2.0,2019-20,FALSE,Real Gross State Product growth (%),"Estimated Actual, from Table 1 Key Budget Assumptions"
econ_gsp_growth,1.25,2020-21,FALSE,Real Gross State Product growth (%),Budget Estimate
econ_gsp_growth,2.75,2021-22,TRUE,Real Gross State Product growth (%),Forward Estimate
econ_gsp_growth,1.25,2022-23,TRUE,Real Gross State Product growth (%),Forward Estimate
econ_gsp_growth,1.5,2023-24,TRUE,Real Gross State Product growth (%),Forward Estimate
econ_employment,0.3,2019-20,FALSE,Employment growth (%),"Estimated Actual, from Table 1"
econ_employment,-0.25,2020-21,FALSE,Employment growth (%),Budget Estimate
econ_employment,2.25,2021-22,TRUE,Employment growth (%),Forward Estimate
econ_employment,2.0,2022-23,TRUE,Employment growth (%),Forward Estimate
econ_employment,1.75,2023-24,TRUE,Employment growth (%),Forward Estimate
econ_unemployment,6.1,2019-20,FALSE,Unemployment rate (%),"Annual average, Estimated Actual"
econ_unemployment,8.0,2020-21,FALSE,Unemployment rate (%),Annual average Budget Estimate
econ_unemployment,7.0,2021-22,TRUE,Unemployment rate (%),Annual average Forward Estimate
econ_unemployment,6.25,2022-23,TRUE,Unemployment rate (%),Annual average Forward Estimate
econ_unemployment,6.0,2023-24,TRUE,Unemployment rate (%),Annual average Forward Estimate
econ_cpi,1.3,2019-20,FALSE,Perth Consumer Price Index growth (%),
econ_cpi,1.5,2020-21,FALSE,Perth Consumer Price Index growth (%),
econ_cpi,1.75,2021-22,TRUE,Perth Consumer Price Index growth (%),
econ_cpi,1.75,2022-23,TRUE,Perth Consumer Price Index growth (%),
econ_cpi,2.0,2023-24,TRUE,Perth Consumer Price Index growth (%),
econ_wpi,1.7,2019-20,FALSE,Wage Price Index growth (%),
econ_wpi,1.5,2020-21,FALSE,Wage Price Index growth (%),
econ_wpi,1.75,2021-22,TRUE,Wage Price Index growth (%),
econ_wpi,2.0,2022-23,TRUE,Wage Price Index growth (%),
econ_wpi,2.25,2023-24,TRUE,Wage Price Index growth (%),
econ_population,1.3,2019-20,FALSE,Population growth (%),
econ_population,0.8,2020-21,FALSE,Population growth (%),
econ_population,0.7,2021-22,TRUE,Population growth (%),
econ_population,1.0,2022-23,TRUE,Population growth (%),
econ_population,1.3,2023-24,TRUE,Population growth (%),
exp_total,32935,2020-21,FALSE,Total expenses,
exp_total,31254,2021-22,TRUE,Total expenses,
exp_total,31399,2022-23,TRUE,Total expenses,
exp_total,32073,2023-24,TRUE,Total expenses,
exp_health,9649,2020-21,FALSE,Health,
exp_education,5467,2020-21,FALSE,Education,
exp_public_order,3793,2020-21,FALSE,Community Safety,
