canonical_variable_id,canonical_label,gfs_code,category,sub_category,unit,is_flow,jurisdiction,source_line_item,mapping_notes,parser_version
rev_total,Total revenue,GFS_REV,revenue,total,AUD_mil,TRUE,ACT,Total revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_total,Total revenue,GFS_REV,revenue,total,AUD_mil,TRUE,NSW,Total revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_total,Total revenue,GFS_REV,revenue,total,AUD_mil,TRUE,NT,Total revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_total,Total revenue,GFS_REV,revenue,total,AUD_mil,TRUE,QLD,Total revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_total,Total revenue,GFS_REV,revenue,total,AUD_mil,TRUE,SA,Total revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_total,Total revenue,GFS_REV,revenue,total,AUD_mil,TRUE,TAS,Total revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_total,Total revenue,GFS_REV,revenue,total,AUD_mil,TRUE,VIC,Total revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_total,Total revenue,GFS_REV,revenue,total,AUD_mil,TRUE,WA,Total revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_taxation,Taxation revenue,GFS_TAX,revenue,taxation_total,AUD_mil,TRUE,ACT,Taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_taxation,Taxation revenue,GFS_TAX,revenue,taxation_total,AUD_mil,TRUE,NSW,Taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_taxation,Taxation revenue,GFS_TAX,revenue,taxation_total,AUD_mil,TRUE,NT,Taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_taxation,Taxation revenue,GFS_TAX,revenue,taxation_total,AUD_mil,TRUE,QLD,Taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_taxation,Taxation revenue,GFS_TAX,revenue,taxation_total,AUD_mil,TRUE,SA,Taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_taxation,Taxation revenue,GFS_TAX,revenue,taxation_total,AUD_mil,TRUE,TAS,Taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_taxation,Taxation revenue,GFS_TAX,revenue,taxation_total,AUD_mil,TRUE,VIC,Taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_taxation,Taxation revenue,GFS_TAX,revenue,taxation_total,AUD_mil,TRUE,WA,Taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_payroll,Payroll tax,GFS_PAYROLL,revenue,taxation_payroll,AUD_mil,TRUE,ACT,Payroll tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_payroll,Payroll tax,GFS_PAYROLL,revenue,taxation_payroll,AUD_mil,TRUE,NSW,Payroll tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_payroll,Payroll tax,GFS_PAYROLL,revenue,taxation_payroll,AUD_mil,TRUE,NT,Payroll tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_payroll,Payroll tax,GFS_PAYROLL,revenue,taxation_payroll,AUD_mil,TRUE,QLD,Payroll tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_payroll,Payroll tax,GFS_PAYROLL,revenue,taxation_payroll,AUD_mil,TRUE,SA,Payroll tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_payroll,Payroll tax,GFS_PAYROLL,revenue,taxation_payroll,AUD_mil,TRUE,TAS,Payroll tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_payroll,Payroll tax,GFS_PAYROLL,revenue,taxation_payroll,AUD_mil,TRUE,VIC,Payroll tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_payroll,Payroll tax,GFS_PAYROLL,revenue,taxation_payroll,AUD_mil,TRUE,WA,Payroll tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_stamp_duty,Stamp duties,GFS_DUTY,revenue,taxation_stamp,AUD_mil,TRUE,ACT,Stamp duties,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_stamp_duty,Stamp duties,GFS_DUTY,revenue,taxation_stamp,AUD_mil,TRUE,NSW,Stamp duties,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_stamp_duty,Stamp duties,GFS_DUTY,revenue,taxation_stamp,AUD_mil,TRUE,NT,Stamp duties,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_stamp_duty,Stamp duties,GFS_DUTY,revenue,taxation_stamp,AUD_mil,TRUE,QLD,Stamp duties,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_stamp_duty,Stamp duties,GFS_DUTY,revenue,taxation_stamp,AUD_mil,TRUE,SA,Stamp duties,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_stamp_duty,Stamp duties,GFS_DUTY,revenue,taxation_stamp,AUD_mil,TRUE,TAS,Stamp duties,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_stamp_duty,Stamp duties,GFS_DUTY,revenue,taxation_stamp,AUD_mil,TRUE,VIC,Stamp duties,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_stamp_duty,Stamp duties,GFS_DUTY,revenue,taxation_stamp,AUD_mil,TRUE,WA,Stamp duties,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_land_tax,Land tax,GFS_LAND,revenue,taxation_land,AUD_mil,TRUE,ACT,Land tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_land_tax,Land tax,GFS_LAND,revenue,taxation_land,AUD_mil,TRUE,NSW,Land tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_land_tax,Land tax,GFS_LAND,revenue,taxation_land,AUD_mil,TRUE,NT,Land tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_land_tax,Land tax,GFS_LAND,revenue,taxation_land,AUD_mil,TRUE,QLD,Land tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_land_tax,Land tax,GFS_LAND,revenue,taxation_land,AUD_mil,TRUE,SA,Land tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_land_tax,Land tax,GFS_LAND,revenue,taxation_land,AUD_mil,TRUE,TAS,Land tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_land_tax,Land tax,GFS_LAND,revenue,taxation_land,AUD_mil,TRUE,VIC,Land tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_land_tax,Land tax,GFS_LAND,revenue,taxation_land,AUD_mil,TRUE,WA,Land tax,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_gambling,Gambling taxes,GFS_GAMBLE,revenue,taxation_gambling,AUD_mil,TRUE,ACT,Gambling taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_gambling,Gambling taxes,GFS_GAMBLE,revenue,taxation_gambling,AUD_mil,TRUE,NSW,Gambling taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_gambling,Gambling taxes,GFS_GAMBLE,revenue,taxation_gambling,AUD_mil,TRUE,NT,Gambling taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_gambling,Gambling taxes,GFS_GAMBLE,revenue,taxation_gambling,AUD_mil,TRUE,QLD,Gambling taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_gambling,Gambling taxes,GFS_GAMBLE,revenue,taxation_gambling,AUD_mil,TRUE,SA,Gambling taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_gambling,Gambling taxes,GFS_GAMBLE,revenue,taxation_gambling,AUD_mil,TRUE,TAS,Gambling taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_gambling,Gambling taxes,GFS_GAMBLE,revenue,taxation_gambling,AUD_mil,TRUE,VIC,Gambling taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_gambling,Gambling taxes,GFS_GAMBLE,revenue,taxation_gambling,AUD_mil,TRUE,WA,Gambling taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_motor_vehicle,Motor vehicle taxes,GFS_MV,revenue,taxation_motor,AUD_mil,TRUE,ACT,Motor vehicle taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_motor_vehicle,Motor vehicle taxes,GFS_MV,revenue,taxation_motor,AUD_mil,TRUE,NSW,Motor vehicle taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_motor_vehicle,Motor vehicle taxes,GFS_MV,revenue,taxation_motor,AUD_mil,TRUE,NT,Motor vehicle taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_motor_vehicle,Motor vehicle taxes,GFS_MV,revenue,taxation_motor,AUD_mil,TRUE,QLD,Motor vehicle taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_motor_vehicle,Motor vehicle taxes,GFS_MV,revenue,taxation_motor,AUD_mil,TRUE,SA,Motor vehicle taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_motor_vehicle,Motor vehicle taxes,GFS_MV,revenue,taxation_motor,AUD_mil,TRUE,TAS,Motor vehicle taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_motor_vehicle,Motor vehicle taxes,GFS_MV,revenue,taxation_motor,AUD_mil,TRUE,VIC,Motor vehicle taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_motor_vehicle,Motor vehicle taxes,GFS_MV,revenue,taxation_motor,AUD_mil,TRUE,WA,Motor vehicle taxes,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_other_tax,Other taxation revenue,GFS_OTHTAX,revenue,taxation_other,AUD_mil,TRUE,ACT,Other taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_other_tax,Other taxation revenue,GFS_OTHTAX,revenue,taxation_other,AUD_mil,TRUE,NSW,Other taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_other_tax,Other taxation revenue,GFS_OTHTAX,revenue,taxation_other,AUD_mil,TRUE,NT,Other taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
rev_other_tax,Other taxation revenue,GFS_OTHTAX,revenue,taxation_other,AUD_mil,TRUE,QLD,Other taxation revenue,Seeded from canonical label --- refine per BP1 line-item text,v0
